artifact,full_path,bytes,sha256,role,sibling_or_recorded_zip_sha256,match,classification
cetech-woocommerce-delivery-engine-1.0.0-rc.6-qa.2.zip.sha256,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-rc.6-qa.2.zip.sha256,120,8e6ea28323e8d414dbe491a211745ff0f214ba7d38016293b2f278d1fe4b3848,DESKTOP_CHECKSUM_ONLY,e4a904fd6660e5d8f88b5ce03504f7c6ab470e04802361908e47be3b1b794313,MATCH_LOCATED_ZIP,CANONICAL_LINEAGE
cetech-woocommerce-delivery-engine-1.0.0-rc.6-r1-qa.1.zip.sha256,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-rc.6-r1-qa.1.zip.sha256,123,3f40ee08f1733cbdf588d3c1c7c2bce9bbec8159d054b6dd9d442ea5a8eb3b79,DESKTOP_CHECKSUM_ONLY,6eb0935c1046d4bd65ea017965970b7c0e4784a55d2db2758eab2be3841b5029,MATCH_LOCATED_ZIP,FAILED_QA_EVIDENCE
cetech-woocommerce-delivery-engine-1.0.0-rc.6.zip.sha256,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-rc.6.zip.sha256,115,a263287742eb5fcb5c4869d4c860ffb882f8c776bb1f5e144a455299062dca2e,DESKTOP_CHECKSUM_ONLY,0d4adbef50462d798a4ff9bf802643bed92a35cdd332ceee13a985dbda2a689d,MATCH_LOCATED_ZIP,CANONICAL_LINEAGE
cetech-woocommerce-delivery-engine-1.0.0-rc.8.zip.sha256,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-rc.8.zip.sha256,115,cc47779fc17f51419e4385e4c7976fbf0d7251b9c9555aa83e6a484022e876c3,DESKTOP_CHECKSUM_ONLY,70ae635e71741663d5084e3cccd0d2246871d7c485efb919310267d7c9d46b03,MATCH_LOCATED_ZIP,CANONICAL_LINEAGE
cetech-woocommerce-delivery-engine-1.0.0-dev.bulk.2.zip,C:\Users\Jane\Desktop\Learning 2026\Cursor\cetech-woocommerce-delivery-engine\dist\cetech-woocommerce-delivery-engine-1.0.0-dev.bulk.2.zip,1159232,a3150ebaa799c5af151f0c2a981e36905b6830e0f08ec468cca66a88fb7d5e2f,LOCATED_ZIP,a3150ebaa799c5af151f0c2a981e36905b6830e0f08ec468cca66a88fb7d5e2f,MATCH,CANONICAL_LINEAGE
cetech-woocommerce-delivery-engine-1.0.0-dev.fulfilment.3.zip,C:\Users\Jane\Desktop\Learning 2026\Cursor\cetech-de-post-rc7-fulfilment-correctness\dist\cetech-woocommerce-delivery-engine-1.0.0-dev.fulfilment.3.zip,1303042,6b9337bd9a8f5ffb57dde8fa4ea8bb5e7406280df52609fdb49c4845d0f30285,LOCATED_ZIP,6b9337bd9a8f5ffb57dde8fa4ea8bb5e7406280df52609fdb49c4845d0f30285,MATCH,SUPERSEDED_PRESERVE
cetech-woocommerce-delivery-engine-1.0.0-dev.fulfilment.4.zip,C:\Users\Jane\Desktop\Learning 2026\Cursor\cetech-de-post-rc7-fulfilment-correctness\dist\cetech-woocommerce-delivery-engine-1.0.0-dev.fulfilment.4.zip,1303884,f31401636a7c3cadf68636bbdc9a94224782eb3fbf408696880da9d11ac67127,LOCATED_ZIP,f31401636a7c3cadf68636bbdc9a94224782eb3fbf408696880da9d11ac67127,MATCH,CANONICAL_LINEAGE
cetech-woocommerce-delivery-engine-1.0.0-rc.6-qa.1.zip,C:\Users\Jane\Desktop\Learning 2026\Cursor\cetech-woocommerce-delivery-engine\dist\cetech-woocommerce-delivery-engine-1.0.0-rc.6-qa.1.zip,1049447,d5dbc392bf6e170e411ac19ce9bb4a14e6ef5458d55583ed56b4e07fe9e2d3ff,LOCATED_ZIP,d5dbc392bf6e170e411ac19ce9bb4a14e6ef5458d55583ed56b4e07fe9e2d3ff,MATCH,SUPERSEDED_PRESERVE
cetech-woocommerce-delivery-engine-1.0.0-rc.6-qa.2.zip,C:\Users\Jane\Desktop\Learning 2026\Cursor\cetech-woocommerce-delivery-engine\dist\cetech-woocommerce-delivery-engine-1.0.0-rc.6-qa.2.zip,1056340,e4a904fd6660e5d8f88b5ce03504f7c6ab470e04802361908e47be3b1b794313,LOCATED_ZIP,e4a904fd6660e5d8f88b5ce03504f7c6ab470e04802361908e47be3b1b794313,MATCH,CANONICAL_LINEAGE
cetech-woocommerce-delivery-engine-1.0.0-rc.6.zip,C:\Users\Jane\Desktop\Learning 2026\Cursor\cetech-woocommerce-delivery-engine\dist\cetech-woocommerce-delivery-engine-1.0.0-rc.6.zip,1059918,0d4adbef50462d798a4ff9bf802643bed92a35cdd332ceee13a985dbda2a689d,LOCATED_ZIP,0d4adbef50462d798a4ff9bf802643bed92a35cdd332ceee13a985dbda2a689d,MATCH,CANONICAL_LINEAGE
cetech-woocommerce-delivery-engine-1.0.0-rc.6-r1-qa.1.zip,C:\Users\Jane\Desktop\Learning 2026\Cursor\cetech-de-rc6-admin-setup-repair\dist\cetech-woocommerce-delivery-engine-1.0.0-rc.6-r1-qa.1.zip,1081009,6eb0935c1046d4bd65ea017965970b7c0e4784a55d2db2758eab2be3841b5029,LOCATED_ZIP,6eb0935c1046d4bd65ea017965970b7c0e4784a55d2db2758eab2be3841b5029,MATCH,FAILED_QA_EVIDENCE
cetech-woocommerce-delivery-engine-1.0.0-rc.8.zip,C:\Users\Jane\Desktop\Learning 2026\Cursor\cetech-de-post-rc7-fulfilment-correctness\dist\cetech-woocommerce-delivery-engine-1.0.0-rc.8.zip,1307532,70ae635e71741663d5084e3cccd0d2246871d7c485efb919310267d7c9d46b03,LOCATED_ZIP,70ae635e71741663d5084e3cccd0d2246871d7c485efb919310267d7c9d46b03,MATCH,CANONICAL_LINEAGE
